Demo,,,目標設定,目標設定,目標設定,實際作為,實際作為,供應鏈管理,,2030年溫室氣體絕對減量目標,,,,2030年再生能源使用率目標,,,2030年能源效率進步目標,2024年再生能源使用率,2022-2024年能源效率進步率,範疇三及減量策略
統一編號,公司,產業類別,2030年溫室氣體絕對減量目標,2030年再生能源使用率目標,2030年能源效率進步目標,2024年再生能源使用率,2022-2024年能源效率進步率,範疇三及減量策略,>> Data,是否設定中期溫室氣體絕對減量目標,中期減量目標年設定,中期溫室氣體絕對減量目標值（百分比）,中期減量基準年設定,再生能源目標年設定,再生能源目標值（百分比）,是否取得RE100認證？,年節電率目標,再生能源使用佔總發電量（百分比）,22-24 能效進步率,範疇三（值）,是否設定範疇三減量目標,範疇三減量目標實際作為
75280209,東和鋼鐵企業股份有限公司,鋼鐵業,,,,,,,,TRUE,203000%,30.0%,"2,005",2030,30.0%,FALSE,NA,3%,2.0%,"1,584,014",FALSE,與供應商簽署協同減碳協議書、舉辦溫室氣體減碳說明會及盤查工作坊、將氣候相關責任納入供應廠商評估基準表
34202841,榮成紙業股份有限公司,造紙業,,,,,,,,TRUE,203000%,20.0%,"2,022",NA,NA,FALSE,NA,0%,8.3%,"1,196,372",FALSE,執行綠色採購、主要供應商簽署環保承諾、推動廢棄物資源再利用
94025264,中華紙漿股份有限公司,造紙業,,,,,,,,TRUE,203000%,30.0%,"2,018",2030,60.0%,FALSE,NA,29%,,"26,780",FALSE,NA
55389357,豐興鋼鐵股份有限公司,鋼鐵業,,,,,,,,TRUE,203000%,25.0%,"2,018",NA,NA,FALSE,1.0%,1%,4.7%,"119,844",FALSE,NA
86871981,潤泰精密材料股份有限公司,水泥業,,,,,,,,TRUE,203000%,15.0%,"2,023",NA,NA,FALSE,1.0%,0%,-21.2%,NA,FALSE,NA
84149358,世界先進積體電路股份有限公司,半導體業,,,,,,,,TRUE,203000%,45.0%,"2,021",2040,100.0%,TRUE,1.0%,1%,9.5%,"228,829",TRUE,鼓勵供應商完成ISO查證、輔導供應商進行減碳、採用低碳原物料
27719048,永豐餘工業用紙股份有限公司,造紙業,,,,,,,,TRUE,203000%,16.0%,"2,021",2030,60.0%,TRUE,1.5%,10%,,NA,FALSE,NA
40601248,幸福水泥股份有限公司,水泥業,,,,,,,,TRUE,203000%,,,NA,NA,FALSE,1.0%,NA,-5.0%,"40,512",FALSE,NA
11914002,台灣玻璃工業股份有限公司,非金屬製品加工業,,,,,,,,FALSE,NA,NA,NA,NA,NA,FALSE,NA,3%,-11.3%,"242,756",FALSE,NA
03279507,信大水泥股份有限公司,水泥業,,,,,,,,TRUE,204500%,50.0%,"2,022",NA,NA,FALSE,1.0%,1%,11.8%,"27,567",FALSE,循環經濟資源再利用、綠色採購
28112667,力晶積成電子製造股份有限公司,半導體業,,,,,,,,TRUE,202700%,12.0%,"2,020",2030,30.0%,FALSE,1.0%,1%,28.7%,"214,549",FALSE,供應鏈在地採購、推動綠色採購、與價值鏈夥伴議合
03522600,遠東新世紀股份有限公司,石化業,,,,,,,,TRUE,203000%,50.0%,"2,020",NA,NA,FALSE,1.5%,14%,-10.8%,"11,289,000",TRUE,採用低碳替代原料、低碳燃料替代、供應商議合
55991080,矽品精密工業股份有限公司,半導體業,,,,,,,,TRUE,203000%,58.8%,"2,016",NA,NA,FALSE,2.0%,23%,,"814,692",TRUE,發展低碳供應鏈、申請碳權、參與產業總量管制訂定
11072509,三福氣體股份有限公司,石化業
22099456,聯亞科技股份有限公司,石化業
76027628,日月光半導體製造股份有限公司,半導體業,,,,,,,,TRUE,203000%,58.8%,"2,016",2050,100.0%,FALSE,2.0%,19%,,"18,067,529",TRUE,推動低碳運輸、建置充電樁鼓勵員工更換電動車、原物料供應商減碳輔導
68387705,奇美實業股份有限公司,石化業,,,,,,,,TRUE,203000%,42.0%,"2,021",2035,25.0%,FALSE,NA,0%,5.0%,"4,164,041",TRUE,推廣客戶使用生質基原料、推廣碳手印理念、導入碳捕捉再利用
23535435,欣興電子股份有限公司,電子業,,,,,,,,TRUE,203000%,30.0%,"2,020",2030,NA,FALSE,NA,0%,,"231,398",FALSE,回收再利用(包材/金鹽/銅)、提升運輸效率
23218395,燁聯鋼鐵股份有限公司,鋼鐵業
16096804,南亞電路板股份有限公司,電子業,,,,,,,,TRUE,203000%,25.0%,"2,020",2026,NA,FALSE,2.0%,0%,34.6%,NA,TRUE,建立廠區支援生產、視訊會議、出差共乘制度
04212250,國喬石油化學股份有限公司,石化業,,,,,,,,TRUE,203000%,40.0%,"2,020",NA,NA,FALSE,1.0%,0%,2.0%,"760,630",FALSE,執行供應商溫室氣體盤查、推動綠色採購、要求關鍵供應商執行碳中和
89390656,南亞科技股份有限公司,半導體業,,,,,,,,TRUE,203000%,25.0%,"2,020",2030,25.0%,FALSE,NA,4%,25.4%,"817,588",TRUE,主要排放源來自價值鏈上游購買的商品與服務、協助供應商進行節能減碳相關專案、加入SBTi科學減碳目標倡議
04388145,台灣康寧顯示玻璃股份有限公司,非金屬製品加工業,,,,,,,,TRUE,202800%,30.0%,"2,021",2030,NA,FALSE,NA,NA,,NA,TRUE,供應商碳排數據蒐集計畫、優化物流運輸路線、推動供應商去碳化
03795101,台灣肥料股份有限公司,石化業,,,,,,,,TRUE,203000%,46.0%,"2,024",NA,NA,FALSE,1.5%,0%,9.6%,NA,FALSE,NA
07066907,中國人造纖維股份有限公司,石化業,,,,,,,,TRUE,203000%,6.0%,"2,024",NA,NA,FALSE,NA,0%,-33.3%,NA,FALSE,NA
15395706,義芳化學工業股份有限公司,石化業
