年度,管制編號,事業名稱,公司,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),工廠排放量佔比,公司總排放量,行業大類排放量,行業大類佔比,縣市別,縣市別排放量,縣市別排放量佔比,行業分類,行業大類
112,S1900658,台灣苯乙烯工業股份有限公司高雄廠,台灣苯乙烯工業股份有限公司,20844865,"174,823.14","25,923.75","200,746.89",100.00%,"200,746.89","200,746.89",100.00%,高雄市,"200,746.89",100.00%,化學原材料製造業,石化業
112,S1900372,台灣氯乙烯工業股份有限公司林園廠,台灣氯乙烯工業股份有限公司,19084015,"121,335.88","55,018.15","176,354.03",100.00%,"176,354.03","176,354.03",100.00%,高雄市,"176,354.03",100.00%,化學原材料製造業,石化業
112,S2201056,台灣聚合化學品股份有限公司高雄廠,台灣聚合化學品股份有限公司,11917107,"20,983.00","121,408.27","142,391.27",100.00%,"142,391.27","142,391.27",100.00%,高雄市,"142,391.27",100.00%,化學原材料製造業,石化業
112,S1901066,信昌化學工業股份有限公司林園廠,信昌化學工業股份有限公司,86120031,"96,379.65","42,068.82","138,448.47",100.00%,"138,448.47","138,448.47",100.00%,高雄市,"138,448.47",100.00%,化學原材料製造業,石化業
112,E5600136,台灣志氯化學股份有限公司?氯廠,台灣志氯化學股份有限公司,22318516,111.53,"136,331.11","136,442.64",100.00%,"136,442.64","136,442.64",100.00%,高雄市,"136,442.64",100.00%,化學原材料製造業,石化業
112,S2300447,高雄塑酯化學工業股份有限公司,高雄塑酯化學工業股份有限公司,85803825,"67,502.81","20,286.69","87,789.50",100.00%,"87,789.50","87,789.50",100.00%,高雄市,"87,789.50",100.00%,化學原材料製造業,石化業
112,E5601437,中鋼碳素化學股份有限公司,中鋼碳素化學股份有限公司,23221384,"26,047.14","57,646.63","83,693.76",100.00%,"83,693.76","83,693.76",100.00%,高雄市,"83,693.76",100.00%,化學原材料製造業,石化業
112,S1900283,和益化學工業股份有限公司,和益化學工業股份有限公司,	04312878,"48,830.53","18,822.18","67,652.71",100.00%,"67,652.71","67,652.71",100.00%,高雄市,"67,652.71",100.00%,化學原材料製造業,石化業
112,S3204695,勝一化工股份有限公司永安二廠,勝一化工股份有限公司,75970680,"27,682.13","5,025.34","32,707.48",55.31%,"59,136.40","59,136.40",100.00%,高雄市,"59,136.40",100.00%,化學原材料製造業,石化業
112,S3200428,勝一化工股份有限公司,勝一化工股份有限公司,75970680,"23,099.07","3,329.86","26,428.92",44.69%,"59,136.40","59,136.40",100.00%,高雄市,"59,136.40",100.00%,化學原材料製造業,石化業
