年度,公司,事業統編,統編補0,行業分類,行業大類,2020,2021,2022,2023,2024,2025
112,盛餘股份有限公司,79837539,79837539,金屬加工處理業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,慶欣欣鋼鐵股份有限公司,80354671,80354671,其他金屬製品製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,榮剛材料科技股份有限公司,84252697,84252697,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,中龍鋼鐵股份有限公司,84613756,84613756,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,龍慶鋼鐵企業股份有限公司,85793919,85793919,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,裕鐵企業股份有限公司,85978401,85978401,金屬加工處理業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,東盟開發實業股份有限公司,88121697,88121697,鋼鐵製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,春雨工廠股份有限公司,88187108,88187108,其他基本金屬製造業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,晉禾企業股份有限公司,88680066,88680066,金屬加工處理業,鋼鐵業,0.0,0.0,0.0,0.0,0.0,0.0
112,可成科技股份有限公司,69905810,69905810,鋁製造業,鋁製造業,0.0,0.0,0.0,0.0,0.0,0.0
112,巧新科技工業股份有限公司,84980915,84980915,金屬加工處理業,鋁製造業,0.0,0.0,0.0,0.0,0.0,0.0
112,中鋼鋁業股份有限公司,96971313,96971313,鋁製造業,鋁製造業,0.0,0.0,0.0,0.0,0.0,0.0
112,台榮產業股份有限公司,3543210,03543210,碾穀、磨粉及澱粉製品製造業,碾穀、磨粉及澱粉製品製造業,0.0,0.0,0.0,0.0,0.0,0.0
112,金居開發股份有限公司,16447610,16447610,銅製造業,銅製造業,0.0,0.0,0.0,0.0,0.0,0.0
112,名佳利金屬工業股份有限公司,45018531,45018531,銅製造業,銅製造業,0.0,0.0,0.0,0.0,0.0,0.0
112,古河銅箔股份有限公司,53372182,53372182,其他基本金屬製造業,銅製造業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣銅箔股份有限公司,61932639,61932639,銅製造業,銅製造業,0.0,0.0,0.0,0.0,0.0,0.0
112,台日古河銅箔股份有限公司,97168665,97168665,其他基本金屬製造業,銅製造業,0.0,0.0,0.0,0.0,0.0,0.0
112,李長榮科技股份有限公司,97173920,97173920,金屬加工處理業,銅製造業,0.0,0.0,0.0,0.0,0.0,0.0
112,能元科技股份有限公司,16441469,16441469,其他電力設備及配備製造業,電池製造業,0.0,0.0,0.0,0.0,0.0,0.0
112,臺灣湯淺電池股份有限公司,35878589,35878589,電池製造業,電池製造業,0.0,0.0,0.0,0.0,0.0,0.0
112,台燿科技股份有限公司,4226091,04226091,印刷電路板製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,華通電腦股份有限公司,4401392,04401392,印刷電路板製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,燿華電子股份有限公司,5637971,05637971,印刷電路板製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,台豐印刷電路工業股份有限公司,11833698,11833698,印刷電路板製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,中環股份有限公司,12205020,12205020,資料儲存媒體製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,南亞電路板股份有限公司,16096804,16096804,印刷電路板製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,旭德科技股份有限公司,16638110,16638110,印刷電路板製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,精材科技股份有限公司,16741846,16741846,其他電子零組件製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,華新科技股份有限公司,19004316,19004316,被動電子元件製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣高技股份有限公司,22099343,22099343,其他電子零組件製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,先豐通訊股份有限公司,22554807,22554807,印刷電路板製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,國巨股份有限公司,22636630,22636630,被動電子元件製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,廣達電腦股份有限公司,22822281,22822281,電腦及其週邊設備製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,欣興電子股份有限公司,23535435,23535435,印刷電路板製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,金像電子股份有限公司,30955404,30955404,印刷電路板製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,敬鵬工業股份有限公司,43816068,43816068,印刷電路板製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,台星科股份有限公司,70552666,70552666,其他電子零組件製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,達邁科技股份有限公司,70776899,70776899,其他電子零組件製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,景碩科技股份有限公司,70785139,70785139,印刷電路板製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,住華科技股份有限公司,70848177,70848177,其他電子零組件製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,楠梓電子股份有限公司,76026851,76026851,印刷電路板製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,采鈺科技股份有限公司,80601119,80601119,其他電子零組件製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,嘉聯益科技股份有限公司,86980046,86980046,印刷電路板製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,華泰電子股份有限公司,89004161,89004161,其他電子零組件製造業,電子業,0.0,0.0,0.0,0.0,0.0,0.0
112,新桃電力股份有限公司,16596337,16596337,電力供應業,電力業,0.0,0.0,0.0,0.0,0.0,0.0
112,星元電力股份有限公司,27945086,27945086,電力供應業,電力業,0.0,0.0,0.0,0.0,0.0,0.0
112,森霸電力股份有限公司,70783499,70783499,電力供應業,電力業,0.0,0.0,0.0,0.0,0.0,0.0
112,星能電力股份有限公司,70783765,70783765,電力供應業,電力業,0.0,0.0,0.0,0.0,0.0,0.0
112,國光電力股份有限公司,70833553,70833553,電力供應業,電力業,0.0,0.0,0.0,0.0,0.0,0.0
112,長生電力股份有限公司,96933037,96933037,電力供應業,電力業,0.0,0.0,0.0,0.0,0.0,0.0
112,嘉惠電力股份有限公司,96976990,96976990,電力供應業,電力業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣國際造船股份有限公司,4695235,04695235,船舶及其零件製造業,造船業,0.0,0.0,0.0,0.0,0.0,0.0
112,上評資源循環股份有限公司,91004618,91004618,紙漿、紙及紙板製造業,造紙業,0.0,0.0,46.4,0.0,0.0,0.0
112,台灣史谷脫紙業股份有限公司,11820053,11820053,其他紙製品製造業,造紙業,0.0,0.0,0.0,0.0,0.0,0.0
112,晶碩光學股份有限公司,25021158,25021158,眼鏡製造業,眼鏡製造業,0.0,0.0,0.0,0.0,0.0,0.0
112,漢翔航空工業股份有限公司,97160544,97160544,未分類其他運輸工具及其零件製造業,航空業,0.0,0.0,0.0,0.0,0.0,0.0
112,福懋興業股份有限公司,14001199,14001199,染整業,紡織業,0.0,0.0,"65,091.0","10,510.0",0.0,0.0
112,和友紡織股份有限公司,35192807,35192807,染整業,紡織業,0.0,0.0,"2,192.4","7,588.2",0.0,0.0
112,東隆興業股份有限公司,18770509,18770509,紡紗業,紡織業,0.0,0.0,685.9,0.0,0.0,0.0
112,大同染整股份有限公司,7014916,07014916,染整業,紡織業,0.0,0.0,0.0,0.0,0.0,0.0
112,科德寶遠東股份有限公司,22663158,22663158,不織布業,紡織業,0.0,0.0,0.0,0.0,0.0,0.0
112,紡安股份有限公司,25131486,25131486,紡紗業,紡織業,0.0,0.0,0.0,0.0,0.0,0.0
112,怡華實業股份有限公司,33144175,33144175,紡紗業,紡織業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣華可貴股份有限公司,44883108,44883108,未分類其他製造業,紡織業,0.0,0.0,0.0,0.0,0.0,0.0
112,大鐘印染股份有限公司,57002416,57002416,染整業,紡織業,0.0,0.0,0.0,0.0,0.0,0.0
112,建榮工業材料股份有限公司,86691377,86691377,織布業,紡織業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣糖業股份有限公司,3794905,03794905,其他食品製造業,食品業,0.0,0.0,0.0,0.0,0.0,0.0
112,金車股份有限公司,5007903,05007903,其他食品製造業,食品業,0.0,0.0,0.0,0.0,0.0,0.0
112,義美食品股份有限公司,11768704,11768704,其他食品製造業,食品業,0.0,0.0,0.0,0.0,0.0,0.0
112,豐年豐和企業股份有限公司,16635562,16635562,動植物油脂製造業,食品業,0.0,0.0,0.0,0.0,0.0,0.0
112,大統益股份有限公司,20927014,20927014,動植物油脂製造業,食品業,0.0,0.0,0.0,0.0,0.0,0.0
112,碁富食品股份有限公司,22360437,22360437,肉類加工及保藏業,食品業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣卜蜂企業股份有限公司,36514783,36514783,肉類加工及保藏業,食品業,0.0,0.0,0.0,0.0,0.0,0.0
112,味丹企業股份有限公司,56121907,56121907,其他食品製造業,食品業,0.0,0.0,0.0,0.0,0.0,0.0
112,統一企業股份有限公司,73251209,73251209,乳品製造業,食品業,0.0,0.0,0.0,0.0,0.0,0.0
112,臺鹽實業股份有限公司,89397503,89397503,其他食品製造業,食品業,0.0,0.0,0.0,0.0,0.0,0.0
112,中聯油脂股份有限公司,89480404,89480404,動植物油脂製造業,食品業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣康寧顯示玻璃股份有限公司,4388145,04388145,其他非金屬礦物製品製造業,非金屬製品加工業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣玻璃工業股份有限公司,11914002,11914002,玻璃及其製品製造業,非金屬製品加工業,0.0,0.0,0.0,0.0,0.0,0.0
112,富喬工業股份有限公司,16834268,16834268,玻璃及其製品製造業,非金屬製品加工業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣必成股份有限公司,22662355,22662355,玻璃及其製品製造業,非金屬製品加工業,0.0,0.0,0.0,0.0,0.0,0.0
112,福隆玻璃纖維股份有限公司,22663571,22663571,玻璃及其製品製造業,非金屬製品加工業,0.0,0.0,0.0,0.0,0.0,0.0
