管制編號,廠名,公司全名,事業統編,業別,縣市,wgs84經度,wgs84緯度,座標來源,用煤量2020,用煤量2021,用煤量2022,用煤量2023,用煤量2024,用煤量2025
P5802430,台塑石化股份有限公司麥寮三廠,台塑石化股份有限公司,86522210,石化業,雲林縣,120.22403,23.809151,ems_s_01,1327399,1857953,1833885,1684900,1690792,1580129
H5304165,集盛實業股份有限公司第三廠,集盛實業股份有限公司,43295237,紡織業,桃園市,121.129359,25.05560234,ems_s_01,0,0,1606.93,726.76,4817.01,2207.58
P5801728,台塑石化股份有限公司麥寮二廠,台塑石化股份有限公司,86522210,石化業,雲林縣,120.2519883,23.75349512,ems_s_01,1643776,1696491,1562981,1513277,1255598,1368753
P5500191,合眾紙業股份有限公司林內廠,合眾紙業股份有限公司,4380087,造紙業,雲林縣,120.6117073,23.76087526,ems_s_01,8090.83,17853.25,16321.4,14941.86,16150.6,15683.3
N2806344,環泰企業股份有限公司埤頭廠,環泰企業股份有限公司,12529007,食品業,彰化縣,120.46928,23.916514,ems_s_01,0,0,2137,4673.35,4229.99,4348.76
P46B5125,中國石油化學工業開發股份有限公司斗六廠,中國石油化學工業開發股份有限公司,3084741,石化業,雲林縣,120.59715,23.714458,ems_s_01,0,0,0,1719.235,7083.89,7838.41
H5307693,集盛實業股份有限公司觀音廠,集盛實業股份有限公司,43295237,紡織業,桃園市,121.1234329,25.05504402,ems_s_01,0,5113,4857.25,4733.01,3742.37,4044.43
H4500743,中興紡織廠股份有限公司楊梅化纖廠,中興紡織廠股份有限公司,35082604,石化業,桃園市,121.12902,24.904295,ems_s_01,0,0,5074.5,2215.67,3705.03,8993.32
N16A0638,晉瑜企業股份有限公司彰濱廠,晉瑜企業股份有限公司,89939090,水泥業,彰化縣,120.4527876,24.15580143,ems_s_01,0,890.48,3526.5,3563.05,2591.8,0
H53A7443,晉瑜企業股份有限公司觀音廠,晉瑜企業股份有限公司,89939090,水泥業,桃園市,121.090065,25.052732,ems_s_01,876.18,2247.61,2295.362,2304.346,2266.315,1686.417
H4600659,州霖股份有限公司,州霖股份有限公司,23271588,紡織業,桃園市,121.280939,25.082312,ems_s_01,2357.03,6002.64,8025.47,8766.98,2135.58,0
H5302063,日皓造紙工業股份有限公司觀音廠,日皓造紙工業股份有限公司,24001900,造紙業,桃園市,121.1069768,25.05916511,ems_s_01,0,0,953.35,3787.47,1610.01,0
L0200633,中龍鋼鐵股份有限公司,中龍鋼鐵股份有限公司,84613756,鋼鐵業,臺中市,120.501433,24.211671,ems_s_01,5379703.91,5639435.966,5202333.929,4810478.148,4683309.853,0
U9106498,晉瑜企業股份有限公司花蓮研磨廠,晉瑜企業股份有限公司,89939090,水泥業,花蓮縣,121.6277534,24.01555873,ems_s_01,0,792.63,1005.63,1651.72,1316.39,1358.31
L9200693,正隆股份有限公司后里分公司,正隆股份有限公司,33085508,造紙業,臺中市,120.723072,24.285818,ems_s_01,0,282505.43,300661.27,298244.93,279201.37,263257.05
N0910872,晉瑜企業股份有限公司全興廠,晉瑜企業股份有限公司,89939090,水泥業,彰化縣,120.5151244,24.15497227,ems_s_01,0,0,611.64,2081.34,1136.36,0
L02A0301,中聯資源股份有限公司台中廠,中聯資源股份有限公司,86119908,廢棄物處理業,臺中市,120.484663,24.220821,ems_s_01,0,6114.69,14534.43,16749.65,15845.04,6569.92
L8900676,永豐餘消費品實業股份有限公司清水廠,永豐餘消費品實業股份有限公司,22327037,造紙業,臺中市,120.632641,24.298966,ems_s_01,4136.4,19842.59,11611.27,13280.19,10767.91,2949.63
L02A1943,餘慶堂興業股份有限公司研磨廠,餘慶堂興業股份有限公司,28730458,水泥業,臺中市,120.48487,24.221483,ems_s_01,1529.15,4163.67,7005.87,8001.69,7997.71,7080
H4802662,新瑞倡企業股份有限公司桃園廠,新瑞倡企業股份有限公司,7620770,紡織業,桃園市,121.3665843,25.01489933,ems_s_01,0,10432.4,3684.73,652.41,112.02,86.23
L8801052,廣源造紙股份有限公司台中廠,廣源造紙股份有限公司,50301500,造紙業,臺中市,120.6464307,24.40913892,ems_s_01,737,8712.5,10343.9,5265.4,7669,3858.7
G3706819,晉瑜企業股份有限公司龍德廠,晉瑜企業股份有限公司,89939090,水泥業,宜蘭縣,121.8210389,24.6322279,ems_s_01,0,721.32,0,0,0,0
G32A2091,晉瑜企業股份有限公司利澤廠,晉瑜企業股份有限公司,89939090,水泥業,宜蘭縣,121.84201,24.63625,ems_s_01,0,86.94,0,0,0,0
F0701702,南亞塑膠工業股份有限公司樹林廠,南亞塑膠工業股份有限公司,75370905,石化業,新北市,121.4045199,24.9734965,ems_s_01,110518,158506,42790,0,0,0
K7201001,中國石油化學工業開發股份有限公司頭份廠,中國石油化學工業開發股份有限公司,3084741,石化業,苗栗縣,120.893956,24.676499,ems_s_01,46702.4,150094.7,0,0,0,0
Q7600375,南亞塑膠工業股份有限公司嘉義廠,南亞塑膠工業股份有限公司,75370905,石化業,嘉義縣,120.377397,23.49718999,ems_s_01,69439.3,136299,30784.1,0,0,0
K7200933,華夏海灣塑膠股份有限公司頭份總廠,華夏海灣塑膠股份有限公司,11686106,石化業,苗栗縣,120.889178,24.684365,ems_s_01,0,7254.115,2990.05,1374.545,0,0
H53A2463,遠東新世紀股份有限公司觀音印染廠,遠東新世紀股份有限公司,3522600,石化業,桃園市,121.1130378,25.05795372,ems_s_01,0,0,0,0,0,0
F1600491,南亞塑膠工業股份有限公司林口二廠,南亞塑膠工業股份有限公司,75370905,石化業,新北市,121.415278,25.051108,ems_s_01,49467,0,0,0,0,0
E2301458,中國人造纖維股份有限公司汽電二廠,中國人造纖維股份有限公司,7066907,石化業,高雄市,120.33515,22.724481,ems_s_01,0,0,10537.11,11531.1,0,0
H5301262,和友紡織股份有限公司觀音廠,和友紡織股份有限公司,35192807,紡織業,桃園市,121.149261,24.965892,ems_s_01,0,0,2192.4,7588.2,0,0
H4202813,東隆興業股份有限公司桃園廠,東隆興業股份有限公司,18770509,紡織業,桃園市,121.2773852,25.02477018,ems_s_01,0,0,685.88,0,0,0
P4600987,福懋興業股份有限公司,福懋興業股份有限公司,14001199,紡織業,雲林縣,120.5881468,23.72734578,ems_s_01,0,0,65091,10510,0,0
Q6900821,上評資源循環股份有限公司嘉義廠,上評資源循環股份有限公司,91004618,造紙業,嘉義縣,120.42701,23.518954,ems_s_01,0,2430.2,1006.4,0,0,0
E5602934,中聯資源股份有限公司臨海廠,中聯資源股份有限公司,86119908,廢棄物處理業,高雄市,120.3764598,22.53449038,ems_s_01,0,6523.4,12067.32,5087.41,0,0
E5601697,中聯資源股份有限公司,中聯資源股份有限公司,86119908,廢棄物處理業,高雄市,120.3788314,22.53617086,ems_s_01,0,4526.4,8202.16,3346.22,0,0
H4600551,大統新創股份有限公司染整廠,大統新創股份有限公司,22267777,紡織業,桃園市,121.282604,25.062477,ems_s_01,5586.59,16221.5,6669.37,1220.11,1.5,0
