證券代號,公司名稱,業別,2024年度總能源使用量,2023年度總能源使用量,2022年度總能源使用量,使用變化,2024營收,2023營收,2022營收,營收變化,2024能效,2023能效,2022能效,能效進步率
3105,穩懋半導體股份有限公司,半導體業,"629,543,000.00","630,254,088.00","654,671,844.00","-25,128,844.00","17,457,713,000","15,836,498,000","18,334,336,000","-876,623,000",0.03606102357,0.03979756686,0.03570742044,0.99%
5425,台灣半導體股份有限公司,半導體業,"219,989,520.00","210,140,700.00","232,423,400.00","-12,433,880.00","14,828,792,000","14,616,014,000","15,687,134,000","-858,342,000",0.01483529609,0.01437742876,0.01481617993,0.13%
1413,宏洲纖維工業股份有限公司,石化業,"458,110,444.00","351,414,261.00","488,255,121.00","-30,144,677.00","2,305,985,000","1,995,376,000","3,145,933,000","-839,948,000",0.1986615021,0.1761143068,0.1552020088,28.00%
8150,南茂科技股份有限公司,半導體業,"1,812,028,170.00","1,693,373,040.00","1,741,243,080.00","70,785,090.00","22,695,909,000","21,356,228,000","23,517,064,000","-821,155,000",0.0798394182,0.07929176632,0.0740416865,7.83%
2441,超豐電子股份有限公司,半導體業,"788,533,488.00",NA,NA,#VALUE!,"15,213,240,000","13,570,076,000","15,950,309,000","-737,069,000",0.05183205471,#VALUE!,#VALUE!,缺能源
3374,精材科技股份有限公司,半導體業,"693,741,456.00","653,566,057.00","654,490,984.00","39,250,472.00","7,059,941,000","6,386,868,000","7,731,797,000","-671,856,000",0.09826448351,0.1023296641,0.08464927157,16.08%
2369,菱生精密工業股份有限公司,半導體業,"428,682,283.20",NA,NA,#VALUE!,"5,372,560,000","5,660,171,000","6,006,806,000","-634,246,000",0.07979106482,#VALUE!,#VALUE!,缺能源
8358,金居開發股份有限公司,非鋼鐵金屬業,"729,084,000.00","771,994,000.00","835,088,000.00","-106,004,000.00","6,821,558,000","6,169,504,000","7,407,454,000","-585,896,000",0.1068793962,0.1251306426,0.1127361709,-5.20%
4960,誠美材料科技股份有限公司,光電業,"486,997,000.00","507,226,000.00","513,275,000.00","-26,278,000.00","8,927,193,000","9,237,663,000","9,499,682,000","-572,489,000",0.05455208597,0.05490847631,0.05403075598,0.96%
2492,華新科技股份有限公司,半導體業,"1,469,356,773.60","1,322,119,864.40","1,336,649,268.00","132,707,505.60","34,755,041,000","32,797,671,000","35,297,163,000","-542,122,000",0.04227751518,0.04031139481,0.03786846178,11.64%
6257,矽格股份有限公司,半導體業,"568,983,800.00","543,041,160.00","568,793,750.00","190,050.00","18,218,144,000","15,479,501,000","18,694,345,000","-476,201,000",0.03123171054,0.03508130915,0.03042597909,2.65%
1815,富喬工業股份有限公司,玻璃業,"1,518,720,000.00","1,507,802,000.00","1,684,225,000.00","-165,505,000.00","4,246,703,000","3,199,921,000","4,650,737,000","-404,034,000",0.3576233139,0.4711997577,0.3621415272,-1.25%
1737,臺鹽實業股份有限公司,食品業,"420,455,120.00","462,371,880.00","413,271,090.00","7,184,030.00","3,238,152,000","3,408,811,000","3,613,607,000","-375,455,000",0.129844158,0.1356402218,0.1143652561,13.53%
2108,南帝化學工業股份有限公司,石化業,"222,654,440.00","216,004,800.00","278,075,130.00","-55,420,690.00","11,364,286,000","8,942,042,000","11,668,543,000","-304,257,000",0.01959247066,0.02415609321,0.02383117841,-17.79%
4755,三福氣體股份有限公司,石化業,"276,796,000.00","161,123,000.00","212,786,000.00","64,010,000.00","5,324,424,000","4,990,961,000","5,618,600,000","-294,176,000",0.05198609277,0.03228296114,0.03787171181,37.27%
1773,勝一化工股份有限公司,石化業,"1,075,684,000.00",NA,NA,#VALUE!,"11,056,943,000","9,852,910,000","11,345,083,000","-288,140,000",0.09728584112,#VALUE!,#VALUE!,缺能源
1464,得力實業股份有限公司,紡織業,"636,231,170.00","705,914,450.00","805,902,520.00","-169,671,350.00","11,994,022,000","9,830,034,000","12,277,001,000","-282,979,000",0.05304568976,0.07181200492,0.06564327233,-19.19%
