年度,管制編號,事業名稱,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),縣市別,行業分類
104,H49A2429,凌巨科技有限公司八德廠                                                                              ,16432742,"37,038.00","29,134.00","66,172.00",桃園市,光電材料及元件製造業
104,H5002362,友達光電股份有限公司桃園分公司,84149738,"81,001.00","238,089.00","319,090.00",桃園市,光電材料及元件製造業
104,H5008211,友達光電股份有限公司龍科廠,84149738,"29,542.00","336,811.00","366,353.00",桃園市,光電材料及元件製造業
104,H5009450,中華映管股份有限公司龍潭廠,11085292,"470,138.00","329,050.00","799,188.00",桃園市,光電材料及元件製造業
104,H50A1985,合晶科技股份有限公司園區分公司,16138282,"2,002.00","25,890.00","27,892.00",桃園市,半導體製造業
104,H50A6430,台灣積體電路製造股份有限公司先進封測三廠,22099131,835.00,"21,495.00","22,330.00",桃園市,半導體製造業
104,H50A6777,美商蘋果電子股份有限公司台灣分公司,54393468,886.00,"9,796.00","10,682.00",桃園市,光電材料及元件製造業
104,H5100952,新光合成纖維股份有限公司中壢廠,	07435515,"130,255.00","182,860.00","313,115.00",桃園市,紡紗業
104,H5103604,全新光電科技股份有限公司平鎮廠,97170472,69.00,"9,237.00","9,306.00",桃園市,光電材料及元件製造業
104,H51A4865,群創光電股份有限公司平鎮CF廠,12800225,8.00,"16,248.00","16,256.00",桃園市,光電材料及元件製造業
104,H5200215,永豐餘工業用紙股份有限公司新屋廠,27719048,"339,007.00","48,595.00","387,602.00",桃園市,其他紙製品製造業
104,H5200617,聯成鋼鐵股份有限公司桃園廠,22822748,"30,090.00","54,127.00","84,217.00",桃園市,鋼鐵製造業
104,H5300078,亞東石化股份有限公司,22318678,"149,159.00","73,148.00","222,307.00",桃園市,化學原材料製造業
104,H5300210,遠東新世紀股份有限公司觀音化纖廠,	03522600,"123,742.00","91,417.00","215,159.00",桃園市,人造纖維製造業
104,H5300363,銓盟企業股份有限公司,23313356,"24,686.00","4,337.00","29,023.00",桃園市,染整業
104,H5300425,錦美紙業股份有限公司觀音廠,34175598,"23,900.00","16,058.00","39,958.00",桃園市,紙漿、紙及紙板製造業
104,H5300916,台灣玻璃工業股份有限公司桃園廠,11914002,"59,993.00","55,960.00","115,953.00",桃園市,玻璃及其製品製造業
104,H5301548,富順纖維工業股份有限公司觀音廠,	07407200,"31,975.00","8,484.00","40,459.00",桃園市,染整業
104,H5302063,日皓造紙工業股份有限公司,24001900,"36,038.00","19,638.00","55,676.00",桃園市,紙漿、紙及紙板製造業
104,H5307960,台灣電力股份有限公司大潭發電廠,	03795904,"9,325,197.00","1,893.00","9,327,090.00",桃園市,電力供應業
104,H53A0675,東和鋼鐵企業股份有限公司桃園廠,75280209,"60,052.00","288,452.00","348,504.00",桃園市,鋼鐵製造業
104,H53A2245,利芃國際股份有限公司觀音二廠,53121117,"19,800.00","22,574.00","42,374.00",桃園市,未分類其他化學製品製造業
104,H53A2255,利芃國際股份有限公司觀音,53121117,"51,539.00","19,787.00","71,326.00",桃園市,未分類其他化學製品製造業
104,H53A2562,華亞汽電股份有限公司觀音公用廠,70783006,"217,688.00","1,862.00","219,550.00",桃園市,電力供應業
104,J5500366,正隆股份有限公司竹北廠,33085508,"55,314.00","49,490.00","104,804.00",新竹縣,其他紙製品製造業
104,J5500526,東華合纖股份有限公司l新竹廠,11083148,"83,347.00","4,082.00","87,429.00",新竹縣,人造纖維製造業
104,J5601064,新桃電力股份有限公司,16596337,"919,844.00","6,302.00","926,146.00",新竹縣,電力供應業
104,J5700222,遠東新世紀股份有限公司化學纖維總廠,	03522600,"218,735.00","209,836.00","428,571.00",新竹縣,人造纖維製造業
104,J5700231,大享容器工業股份有限公司,46007218,"77,617.00","18,998.00","96,615.00",新竹縣,玻璃及其製品製造業
104,J5901658,長春人造樹脂廠股份有限公司新竹廠,11384708,"365,294.00","2,270.00","367,564.00",新竹縣,塑膠及合成橡膠原料製造業
104,J59A5361,恆顥科技股份有限公司湖口廠,53116310,405.00,"16,066.00","16,471.00",新竹縣,光電材料及元件製造業
104,J6000230,亞洲水泥股份有限公司新竹製造廠,	03244509,"286,187.00","20,028.00","306,215.00",新竹縣,水泥及其製品製造業
104,J6300146,漢磊科技股份有限公司創新廠,47299902,"2,001.00","7,110.00","9,111.00",新竹縣,半導體製造業
104,J6300299,漢磊科技股份有限公司研發廠,47299902,"13,127.00","22,554.00","35,681.00",新竹縣,半導體製造業
104,J6300324,台灣積體電路製造股份有限公司三廠3E廠,22099131,"25,281.00","66,866.00","92,147.00",新竹縣,半導體製造業
104,J6300557,台灣積體電路製造股份有限公司二廠                                                                    ,22099131,"47,268.00","72,489.00","119,757.00",新竹縣,半導體製造業
104,J6300959,世界先進積體電路股份有限公司晶圓一廠,84149358,"96,701.00","118,853.00","215,554.00",新竹縣,半導體製造業
104,J6301107,台灣積體電路製造股份有限公司三廠,22099131,"146,258.00","177,664.00","323,922.00",新竹縣,半導體製造業
104,J6301447,台灣積體電路製造股份有限公司五廠,22099131,"87,540.00","98,455.00","185,995.00",新竹縣,半導體製造業
104,J63A0048,聯華電子股份有限公司Fab8S廠,47217677,"26,772.00","69,905.00","96,677.00",新竹縣,半導體製造業
104,J63A0107,台灣積體電路製造股份有限公司十二廠研新廠,22099131,"98,241.00","140,053.00","238,294.00",新竹縣,半導體製造業
104,J63A1056,台灣積體電路製造股份有限公司十二廠四期/五期,22099131,"41,002.00","355,909.00","396,911.00",新竹縣,半導體製造業
104,J63A1591,台灣積體電路製造股份有限公司十二廠六期,22099131,"28,910.00","305,223.00","334,133.00",新竹縣,半導體製造業
104,J63A1719,聯穎光電股份有限公司竹科廠,53170263,"16,638.00","38,709.00","55,347.00",新竹縣,半導體製造業
104,K6801089,長春石油化學股份有限公司苗栗廠,11384806,"1,186,237.00","31,229.00","1,217,466.00",苗栗縣,未分類其他化學製品製造業
104,K6801123,長春石油化學股份有限公司苗栗二廠,11384806,"90,374.00","834,514.00","924,888.00",苗栗縣,化學原材料製造業
104,K7000504,臺鹽實業股份有限公司通霄精鹽廠,89397503,"25,649.00","1,921.00","27,570.00",苗栗縣,其他食品製造業
104,K7000513,建順煉鋼股份有限公司,55695790,"47,479.00","137,967.00","185,446.00",苗栗縣,鋼鐵製造業
104,K7000764,台灣電力股份有限公司通霄發電廠,	03795904,"4,259,953.00","4,918.00","4,264,871.00",苗栗縣,電力供應業
104,K7104025,群創光電股份有限公司T1廠,12800225,"36,821.00","134,071.00","170,892.00",苗栗縣,光電材料及元件製造業
104,K71A1370,群創光電股份有限公司T2廠,12800225,"19,296.00","222,675.00","241,971.00",苗栗縣,光電材料及元件製造業
104,K71A2695,群創光電股份有限公司T3廠,12800225,"27,032.00","109,260.00","136,292.00",苗栗縣,光電材料及元件製造業
104,K7201001,中國石油化學工業開發股份有限公司頭份廠,	03084741,"866,656.00","2,073.00","868,729.00",苗栗縣,化學原材料製造業
104,k8000366,立安東化工股份有限公司三義廠,20939460,"63,249.00","16,489.00","79,738.00",苗栗縣,化學原材料製造業
104,K8100129,東和鋼鐵企業股份有限公司苗栗廠,75280209,"113,258.00","219,797.00","333,055.00",苗栗縣,鋼鐵製造業
104,K8201149,冠軍建材股份有限公司第二廠,49701774,"66,462.00","31,283.00","97,745.00",苗栗縣,耐火、黏土建材及其他陶瓷製品製造業
104,L0000624,永豐餘工業用紙股份有限公司成功廠,27719048,"93,492.00","46,577.00","140,069.00",臺中市,紙漿、紙及紙板製造業
104,L0200473,台灣電力股份有限公司台中發電廠,	03795904,"38,570,221.00","16,880.00","38,587,101.00",臺中市,電力供應業
104,L0200633,中龍鋼鐵股份有限公司,84613756,"9,577,771.00","147,235.00","9,725,006.00",臺中市,鋼鐵製造業
104,L8801052,廣源造紙股份有限公司台中一廠,50301500,"109,727.00","46,181.00","155,908.00",臺中市,紙漿、紙及紙板製造業
104,L8900676,永豐餘消費品實業股份有限公司清水廠,22327037,"26,889.00","19,881.00","46,770.00",臺中市,其他紙製品製造業
104,L9000666,味丹企業股份有限公司沙鹿第一工廠,56121907,"197,889.00","52,513.00","250,402.00",臺中市,其他食品製造業
104,L9100198,台灣玻璃工業股份有限公司台中廠,11914002,"95,895.00","21,168.00","117,063.00",臺中市,玻璃及其製品製造業
104,L9101748,中美和石油化學股份有限公司台中廠,14040691,"176,757.00","35,015.00","211,772.00",臺中市,化學原材料製造業
104,L9200693,正隆股份有限公司后里分公司,33085508,"877,291.00","20,782.00","898,073.00",臺中市,紙漿、紙及紙板製造業
104,L9200728,豐興鋼鐵股份有限公司                                                                                ,55389357,"294,480.00","483,934.00","778,414.00",臺中市,鋼鐵製造業
104,L9202099,台灣美光記憶體股份有限公司,28518076,"71,427.00","280,606.00","352,033.00",臺中市,半導體製造業
104,L92A0931,友達光電股份有限公司后里廠,84149738,"20,922.00","176,020.00","196,942.00",臺中市,光電材料及元件製造業
104,L9506056,華邦中科廠,22099218,"47,576.00","200,861.00","248,437.00",臺中市,半導體製造業
104,L95A2041,台灣積體電路製造股份有限公司15廠,22099131,"160,010.00","740,322.00","900,332.00",臺中市,半導體製造業
104,N0702450,台灣化學纖維股份有限公司彰化廠,58650902,"971,959.00",419.00,"972,378.00",彰化縣,人造纖維製造業
104,N0803765,台灣玻璃工業股份有限公司鹿港廠,11914002,"45,730.00","72,910.00","118,640.00",彰化縣,玻璃及其製品製造業
104,N08A1098,台灣玻璃工業股份有限公司鹿港平板廠,11914002,"138,717.00","18,527.00","157,244.00",彰化縣,玻璃及其製品製造業
104,N1400562,榮成紙業股份有限公司,34202841,"332,229.00",411.00,"332,640.00",彰化縣,紙漿、紙及紙板製造業
104,N1504207,星能電力股份有限公司,70783765,"700,786.00","5,174.00","705,960.00",彰化縣,電力供應業
104,N1505633,星元電力股份有限公司(星元天然氣發電廠),27945086,"822,933.00","4,934.00","827,867.00",彰化縣,電力供應業
104,N1601229,慶欣欣鋼鐵股份有限公司,80354671,"116,649.00","178,455.00","295,104.00",彰化縣,鋼鐵製造業
104,N1602191,英全化學工業股份有限公司全興廠,57104700,"22,409.00","6,683.00","29,092.00",彰化縣,塑膠及合成橡膠原料製造業
104,N1607141,台灣鋼聯股份有限公司,89528054,"118,425.00","12,562.00","130,987.00",彰化縣,化學原材料製造業
104,N2100552,正新橡膠工業股份有限公司,59504506,"42,434.00","47,050.00","89,484.00",彰化縣,橡膠製品製造業
104,N2902234,力麗企業股份有限公司彰化化纖總廠,	07663290,"163,510.00","61,203.00","224,713.00",彰化縣,人造纖維製造業
104,N2904318,力鵬企業股份有限公司彰化尼龍總廠,33955322,"24,688.00","166,474.00","191,162.00",彰化縣,人造纖維製造業
104,O1700798,元隆電子股份有限公司,22099174,"26,893.00","14,958.00","41,851.00",新竹市,半導體製造業
104,O1701115,漢磊科技股份有限公司研新廠(元件二廠),47299902,"4,349.00","8,454.00","12,803.00",新竹市,半導體製造業
104,O1703315,華夏玻璃股份有限公司,47109348,"104,520.00","31,323.00","135,843.00",新竹市,玻璃及其製品製造業
104,O1703351,台灣玻璃工業股份有限公司新竹廠,11914002,"106,997.00","49,711.00","156,708.00",新竹市,玻璃及其製品製造業
104,O1704787,旺宏電子股份有限公司晶圓一廠,22099548,"47,635.00","36,962.00","84,597.00",新竹市,半導體製造業
104,O1704812,台灣茂矽電子股份有限公司,22099110,"59,248.00","50,836.00","110,084.00",新竹市,半導體製造業
104,O1706049,元太科技工業股份有限公司,22099890,"6,424.00","31,153.00","37,577.00",新竹市,光電材料及元件製造業
104,O1706209,聯華電子股份有限公司Fab8A廠,47217677,"102,611.00","123,230.00","225,841.00",新竹市,半導體製造業
104,O1706307,旺宏電子股份有限公司晶圓二廠,22099548,"43,406.00","93,130.00","136,536.00",新竹市,半導體製造業
104,O1706692,聯華電子股份有限公司Fab8E廠,47217677,"55,817.00","82,580.00","138,397.00",新竹市,半導體製造業
104,O1706941,聯華電子股份有限公司Fab8C廠,47217677,"66,318.00","84,350.00","150,668.00",新竹市,半導體製造業
104,O1707395,友達光電股份有限公司L5廠,84149738,"19,981.00","43,829.00","63,810.00",新竹市,光電材料及元件製造業
104,O1708632,聯華電子股份有限公司Fab8F廠,47217677,"29,437.00","86,225.00","115,662.00",新竹市,半導體製造業
104,O1708829,友達光電股份有限公司L3A廠,84149738,584.00,"18,853.00","19,437.00",新竹市,光電材料及元件製造業
104,O1709148,聯華電子股份有限公司Fab8D廠,47217677,"64,969.00","90,943.00","155,912.00",新竹市,半導體製造業
104,O1709193,友達光電總部/友達光電股份有限公司L3B廠,84149738,"2,115.00","20,458.00","22,573.00",新竹市,光電材料及元件製造業
104,O1709308,台灣積體電路製造股份有限公司十二廠,22099131,"113,759.00","277,812.00","391,571.00",新竹市,半導體製造業
104,O1713311,台灣積體電路製造股份有限公司八廠,22099131,"145,847.00","181,877.00","327,724.00",新竹市,半導體製造業
104,o1745831,敦南科技股份有限公司新竹分公司廠,12800750,"36,374.00","21,664.00","58,038.00",新竹市,半導體製造業
104,O1747764,力晶科技股份有限公司P3,84149385,"14,784.00","119,633.00","134,417.00",新竹市,半導體製造業
104,O1748707,力晶科技股份有限公司P1/2,84149385,"13,654.00","147,081.00","160,735.00",新竹市,半導體製造業
104,O1748716,力晶科技股份有限公司P1,84149385,"16,993.00","158,074.00","175,067.00",新竹市,半導體製造業
104,O1751197,世界先進積體電路股份有限公司晶圓二廠,84149358,"48,731.00","131,175.00","179,906.00",新竹市,半導體製造業
104,O1753306,鉅晶電子股份有限公司,28112667,"19,343.00","91,070.00","110,413.00",新竹市,半導體製造業
104,O17A0968,新唐科技股份有限公司,28112646,"27,890.00","41,034.00","68,924.00",新竹市,半導體製造業
104,O17A6887,旺宏電子股份有限公司晶圓五廠,22099548,"71,544.00","108,632.00","180,176.00",新竹市,半導體製造業
104,P4600987,福懋興業股份有限公司,14001199,"333,157.00","56,476.00","389,633.00",雲林縣,染整業
104,P4601984,福懋興業股份有限公司第二廠,14001199,"27,885.00","78,213.00","106,098.00",雲林縣,紡織品製造業
