統一編號,公司代號,公司全稱,公司簡稱,行業大類,縣市別
89406518,3532,台塑勝高科技股份有限公司,台勝科,半導體業,雲林縣
16130042,8150,南茂科技股份有限公司,南茂,半導體業,新竹縣
16432742,8105,凌巨科技股份有限公司,凌巨,光電業,桃園市
39054405,非上市櫃,李長榮化學工業股份有限公司,李長榮,石化業,高雄市
33955322,1447,力鵬企業股份有限公司,力鵬,石化業,彰化縣
20844865,1310,台灣苯乙烯工業股份有限公司,台苯,石化業,高雄市
84252697,5009,榮剛材料科技股份有限公司,榮剛,鋼鐵業,台南市
14040691,非上市櫃,中美和石油化學股份有限公司,中美和,石化業,台中市
75470524,2038,海光企業股份有限公司,海光,鋼鐵業,高雄市
28098406,非上市櫃,易昇鋼鐵股份有限公司,易昇,鋼鐵業,台南市
19084015,非上市櫃,台灣氯乙烯工業股份有限公司,台氯,石化業,高雄市
27208480,非上市櫃,尚承鋼鐵股份有限公司,尚承,鋼鐵業,高雄市
22480876,3008,大立光電股份有限公司,大立光,光電業,台中市
14001199,1434,福懋興業股份有限公司,福懋,紡織業,雲林縣
07663290,1444,力麗企業股份有限公司,力麗,石化業,彰化縣
22662355,非上市櫃,台灣必成股份有限公司,台灣必成,非金屬製品加工業,嘉義縣
16834268,1815,富喬工業股份有限公司,富喬,非金屬製品加工業,雲林縣
96971313,非上市櫃,中鋼鋁業股份有限公司,中鋼鋁,鋁製造業,高雄市
04401392,2313,華通電腦股份有限公司,華通,電子業,桃園市
75947936,2023,燁輝企業股份有限公司,燁輝,鋼鐵業,高雄市
28113286,6488,環球晶圓股份有限公司,環球晶,半導體業,新竹縣
70752257,3105,穩懋半導體股份有限公司,穩懋,半導體業,桃園市
03553737,2103,台橡股份有限公司,台橡,石化業,高雄市
42010509,非上市櫃,羅東鋼鐵廠股份有限公司,羅東鋼鐵,鋼鐵業,宜蘭縣
11917107,1304,台灣聚合化學品股份有限公司,台聚,石化業,高雄市
86120031,非上市櫃,信昌化學工業股份有限公司,信昌化學,石化業,高雄市
22318516,非上市櫃,台灣志氯化學股份有限公司,台灣志氯,石化業,高雄市
80087041,非上市櫃,台灣醋酸化學股份有限公司,台灣醋酸,石化業,雲林縣
16130009,6147,頎邦科技股份有限公司,頎邦,半導體業,高雄市
55695790,非上市櫃,建順煉鋼股份有限公司,建順煉鋼,鋼鐵業,苗栗縣
86119908,9930,中聯資源股份有限公司,中聯資源,非金屬製品加工業,高雄市
22099110,2342,台灣茂矽電子股份有限公司,茂矽,半導體業,新竹市
68919301,1440,台南紡織股份有限公司,南紡,石化業,台南市
22100242,非上市櫃,台灣福雷電子股份有限公司,福雷電子,半導體業,高雄市
16741846,3374,精材科技股份有限公司,精材,電子業,桃園市
23826736,8131,福懋科技股份有限公司,福懋科,半導體業,雲林縣
43295237,1455,集盛實業股份有限公司,集盛,紡織業,桃園市
22327037,6790,永豐餘消費品實業股份有限公司,永豐實,造紙業,台中市
20747385,1308,亞洲聚合股份有限公司,亞聚,石化業,高雄市
11686106,1305,華夏海灣塑膠股份有限公司,華夏,石化業,苗栗縣
16447610,8358,金居開發股份有限公司,金居,銅製造業,雲林縣
50301500,非上市櫃,廣源造紙股份有限公司,廣源造紙,造紙業,台中市
47109348,非上市櫃,華夏玻璃股份有限公司,華夏玻璃,非金屬製品加工業,新竹市
05126366,2441,超豐電子股份有限公司,超豐,半導體業,苗栗縣
20927014,1232,大統益股份有限公司,大統益,食品業,台南市
85978401,非上市櫃,裕鐵企業股份有限公司,裕鐵,鋼鐵業,高雄市
22822748,非上市櫃,聯成鋼鐵股份有限公司,聯成鋼鐵,鋼鐵業,桃園市
22817999,1460,宏遠興業股份有限公司,宏遠,紡織業,台南市
61932639,非上市櫃,台灣銅箔股份有限公司,台灣銅箔,銅製造業,南投縣
49701774,1806,冠軍建材股份有限公司,冠軍,非金屬製品加工業,苗栗縣
85803825,非上市櫃,高雄塑酯化學工業股份有限公司,高雄塑酯,石化業,高雄市
05637971,2367,燿華電子股份有限公司,燿華,電子業,宜蘭縣
75460005,2035,唐榮鐵工廠股份有限公司,唐榮公司,鋼鐵業,高雄市
30974253,非上市櫃,台灣石化合成股份有限公司,台灣石化,石化業,高雄市
23221384,1723,中鋼碳素化學股份有限公司,中碳,石化業,高雄市
30955404,2368,金像電子股份有限公司,金像電,電子業,桃園市
89528054,6581,台灣鋼聯股份有限公司,鋼聯,石化業,彰化縣
23827741,非上市櫃,三義化學工業股份有限公司,三義化學,石化業,桃園市
59504506,2105,正新橡膠工業股份有限公司,正新,石化業,彰化縣
16631664,非上市櫃,艾克爾國際科技股份有限公司,艾克爾,半導體業,桃園市
29058640,非上市櫃,環球橡膠股份有限公司,環球橡膠,石化業,高雄市
97161348,非上市櫃,南中石化工業股份有限公司,南中石化,石化業,雲林縣
73251209,1216,統一企業股份有限公司,統一,食品業,台南市
84149786,非上市櫃,晶元光電股份有限公司,晶電,光電業,台南市
22853994,非上市櫃,台灣寶理塑膠股份有限公司,台灣寶理,石化業,高雄市
73252657,9907,統一實業股份有限公司,統一實,鋼鐵業,台南市
22636630,2327,國巨股份有限公司,國巨,電子業,高雄市
79837539,2029,盛餘股份有限公司,盛餘,鋼鐵業,高雄市
28438025,非上市櫃,晶兆成科技股份有限公司,晶兆成,半導體業,新竹縣
89004161,2329,華泰電子股份有限公司,華泰,電子業,高雄市
89939090,非上市櫃,晉瑜企業股份有限公司,晉瑜,水泥業,彰化縣
22099174,6287,元隆電子股份有限公司,元隆,半導體業,新竹市
04312878,1709,和益化學工業股份有限公司,和益,石化業,高雄市
35082604,1408,中興紡織廠股份有限公司,中興紡織,石化業,桃園市
38033305,非上市櫃,台硝股份有限公司,台硝,石化業,桃園市
16138282,6182,合晶科技股份有限公司,合晶,半導體業,桃園市
73686632,1464,得力實業股份有限公司,得力,紡織業,台南市
89002500,非上市櫃,台灣恩智浦半導體股份有限公司,恩智浦,半導體業,高雄市
54389725,3707,漢磊科技股份有限公司,漢磊,半導體業,新竹縣
03794905,1237,台灣糖業股份有限公司,台糖公司,食品業,高雄市
53667030,非上市櫃,台塑科騰化學有限公司,台塑科騰,石化業,雲林縣
27366467,非上市櫃,新科光電材料股份有限公司,新科光電,石化業,桃園市
85793919,非上市櫃,龍慶鋼鐵企業股份有限公司,龍慶鋼鐵,鋼鐵業,高雄市
20939460,非上市櫃,立安東化工股份有限公司,立安東,石化業,苗栗縣
75970680,1773,勝一化工股份有限公司,勝一,石化業,高雄市
97173920,4989,李長榮科技股份有限公司,榮科,銅製造業,高雄市
43816068,2355,敬鵬工業股份有限公司,敬鵬,電子業,桃園市
22554807,非上市櫃,先豐通訊股份有限公司,先豐,電子業,桃園市
22101116,8110,華東科技股份有限公司,華東,半導體業,高雄市
04380087,非上市櫃,合眾紙業股份有限公司,合眾紙業,造紙業,雲林縣
05258865,非上市櫃,聯華氣體工業股份有限公司,聯華氣體,石化業,高雄市
19004316,2492,華新科技股份有限公司,華新科,電子業,高雄市
88121697,1480,東盟開發實業股份有限公司,東盟開發,鋼鐵業,台南市
12205020,2323,中環股份有限公司,中環,電子業,桃園市
11384405,1708,東南實業股份有限公司,東鹼,石化業,宜蘭縣
11768704,非上市櫃,義美食品股份有限公司,義美,食品業,桃園市
28112646,4919,新唐科技股份有限公司,新唐,半導體業,新竹市
04748660,1313,聯成化學科技股份有限公司,聯成,石化業,高雄市
97168665,非上市櫃,台日古河銅箔股份有限公司,台日古河,銅製造業,雲林縣
23531178,非上市櫃,合興石化工業股份有限公司,合興石化,石化業,高雄市
22663571,非上市櫃,福隆玻璃纖維股份有限公司,福隆玻纖,非金屬製品加工業,嘉義縣
46007218,非上市櫃,大享容器工業股份有限公司,大享容器,非金屬製品加工業,新竹縣
33405832,非上市櫃,德州儀器工業股份有限公司,德州儀器,半導體業,新北市
38119936,非上市櫃,台灣通用器材股份有限公司,通用器材,半導體業,新北市
56121907,非上市櫃,味丹企業股份有限公司,味丹,食品業,台中市
75688109,非上市櫃,漢泰鋼鐵廠股份有限公司,漢泰鋼鐵,鋼鐵業,高雄市
53170263,非上市櫃,聯穎光電股份有限公司,聯穎,半導體業,新竹縣
27790294,4960,誠美材料科技股份有限公司,誠美材,光電業,台南市
89480404,1246,中聯油脂股份有限公司,中聯油脂,食品業,台中市
16130423,8086,宏捷科技股份有限公司,宏捷科,半導體業,台南市
70750217,3049,精金科技股份有限公司,精金,光電業,台南市
04226091,6274,台燿科技股份有限公司,台燿,電子業,新竹縣
70848177,非上市櫃,住華科技股份有限公司,住華,電子業,台南市
28438186,非上市櫃,藍海氣體工業股份有限公司,藍海氣體,石化業,台中市
16446128,非上市櫃,台塑旭彈性纖維股份有限公司,台塑旭,石化業,雲林縣
28997300,6443,元晶太陽能科技股份有限公司,元晶,光電業,新竹縣
24001900,非上市櫃,日皓造紙工業股份有限公司,日皓造紙,造紙業,桃園市
07472834,非上市櫃,新隆纖維染整股份有限公司,新隆纖維,紡織業,桃園市
80601119,6789,采鈺科技股份有限公司,采鈺,電子業,新竹市
84980915,1563,巧新科技工業股份有限公司,巧新,鋁製造業,雲林縣
28730458,非上市櫃,餘慶堂興業股份有限公司,餘慶堂,水泥業,台中市
51158518,非上市櫃,盧森堡商達爾國際股份有限公司,達爾國際,半導體業,新竹市
44528635,非上市櫃,六和機械股份有限公司,六和機械,汽機車業,桃園市
23218022,6257,矽格股份有限公司,矽格,半導體業,新竹縣
45018531,非上市櫃,名佳利金屬工業股份有限公司,名佳利,銅製造業,桃園市
27763753,3576,聯合再生能源股份有限公司,聯合再生,光電業,台南市
25021158,6491,晶碩光學股份有限公司,晶碩,眼鏡製造業,桃園市
03244705,非上市櫃,萬洲化學股份有限公司,萬洲化學,石化業,桃園市
11520909,2101,南港輪胎股份有限公司,南港,石化業,新竹縣
03543210,1220,台榮產業股份有限公司,台榮,碾穀、磨粉及澱粉製品製造業,雲林縣
12488060,非上市櫃,國瑞汽車股份有限公司,國瑞,汽機車業,桃園市
11893409,1309,台達化學工業股份有限公司,台達化,石化業,高雄市
23503047,2049,上銀科技股份有限公司,上銀,金屬加工用機械設備製造業,雲林縣
36514783,1215,台灣卜蜂企業股份有限公司,卜蜂,食品業,南投縣
24410807,非上市櫃,友達晶材股份有限公司,友達晶材,光電業,台中市
28230046,6434,達輝光電股份有限公司,達輝光電,光電業,苗栗縣
24004006,2206,三陽工業股份有限公司,三陽工業,汽機車業,新竹縣
18770509,4401,東隆興業股份有限公司,東隆興,紡織業,彰化縣
70781345,非上市櫃,安瀚視特股份有限公司,安瀚視特,非金屬製品加工業,台南市
34263157,非上市櫃,三洋窯業股份有限公司,三洋磁磚,非金屬製品加工業,新北市
58176511,9939,宏全國際股份有限公司,宏全,鋼鐵業,台中市
96922622,4746,台耀化學股份有限公司,台耀,石化業,桃園市
90505585,非上市櫃,鴻揚半導體股份有限公司,鴻揚半導體,半導體業,新竹市
07568009,1104,環球水泥股份有限公司,環泥,水泥業,桃園市
04695235,2208,台灣國際造船股份有限公司,台船,造船業,高雄市
07014916,非上市櫃,大同染整股份有限公司,大同染整,紡織業,桃園市
22663158,非上市櫃,科德寶遠東股份有限公司,科德寶,紡織業,桃園市
34175598,非上市櫃,錦美紙業股份有限公司,錦美紙業,造紙業,桃園市
33144175,1456,怡華實業股份有限公司,怡華,紡織業,台南市
22956507,非上市櫃,遠東氣體工業股份有限公司,遠東氣體,石化業,高雄市
25131486,非上市櫃,紡安股份有限公司,紡安,紡織業,苗栗縣
12529007,4207,環泰企業股份有限公司,環泰,食品業,桃園市
70776899,3645,達邁科技股份有限公司,達邁,電子業,苗栗縣
36550632,非上市櫃,國聯矽業化學股份有限公司,國聯矽業,石化業,桃園市
12691423,非上市櫃,台合科技股份有限公司,台合,石化業,高雄市
70552666,3265,台星科股份有限公司,台星科,電子業,新竹縣
05007903,非上市櫃,金車股份有限公司,金車,食品業,桃園市
80445899,非上市櫃,連大興有限公司,連大興,紡織業,桃園市
75339004,1717,長興材料工業股份有限公司,長興,石化業,高雄市
54796568,非上市櫃,東齊染整股份有限公司,東齊染整,紡織業,桃園市
16638110,非上市櫃,旭德科技股份有限公司,旭德,電子業,新竹縣
11833698,非上市櫃,台豐印刷電路工業股份有限公司,台豐印刷,電子業,新竹縣
12617727,非上市櫃,曜智實業股份有限公司,曜智,紡織業,嘉義縣
76026851,2316,楠梓電子股份有限公司,楠梓電,電子業,高雄市
34258318,非上市櫃,白馬窯業股份有限公司,白馬磁磚,非金屬製品加工業,桃園市
47255947,2340,台亞半導體股份有限公司,台亞,半導體業,新竹市
70751779,3264,欣銓科技股份有限公司,欣銓,半導體業,新竹縣
11820053,非上市櫃,台灣史谷脫紙業股份有限公司,史谷脫,造紙業,台南市
84149456,非上市櫃,矽格聯測股份有限公司,矽格聯測,半導體業,新竹市
16635562,非上市櫃,豐年豐和企業股份有限公司,豐年豐和,食品業,台南市
28042430,非上市櫃,欣建工業股份有限公司,欣建,鋼鐵業,高雄市
16441469,非上市櫃,能元科技股份有限公司,能元科技,電池製造業,台南市
54393468,非上市櫃,美商蘋果電子股份有限公司,蘋果電子,光電業,桃園市
75992214,2007,燁興企業股份有限公司,燁興,鋼鐵業,高雄市
43031502,非上市櫃,台灣普利司通股份有限公司,普利司通,石化業,新竹縣
52264848,1536,和大工業股份有限公司,和大,汽機車業,嘉義縣
22822281,2382,廣達電腦股份有限公司,廣達,電子業,桃園市
11912102,非上市櫃,台灣紙業股份有限公司,台紙,石化業,台南市
97160544,2634,漢翔航空工業股份有限公司,漢翔,航空業,高雄市
59619900,2106,建大工業股份有限公司,建大,石化業,雲林縣
07220710,1413,宏洲纖維工業股份有限公司,宏洲,石化業,桃園市
23418128,非上市櫃,泓達化工股份有限公司,泓達化工,石化業,高雄市
86691377,5340,建榮工業材料股份有限公司,建榮,紡織業,桃園市
88680066,非上市櫃,晉禾企業股份有限公司,晉禾,鋼鐵業,高雄市
23313356,非上市櫃,銓盟企業股份有限公司,銓盟,紡織業,桃園市
89397503,1737,台鹽實業股份有限公司,台鹽,食品業,苗栗縣
34227006,非上市櫃,金元福包裝企業股份有限公司,金元福,石化業,宜蘭市
89356756,非上市櫃,東欣實業股份有限公司,東欣,紡織業,桃園市
13079654,非上市櫃,鉅輝鋼鐵股份有限公司,鉅輝鋼鐵,鋼鐵業,桃園市
25049986,非上市櫃,台群工業股份有限公司,台群,紡織業,桃園市
07220508,非上市櫃,東培工業股份有限公司,東培,鋼鐵業,桃園市
44883108,非上市櫃,台灣華可貴股份有限公司,YKK,紡織業,桃園市
35878589,非上市櫃,台灣湯淺電池股份有限公司,湯淺電池,電池製造業,宜蘭縣
22360437,非上市櫃,碁富食品股份有限公司,碁富食品,食品業,彰化縣
70738116,非上市櫃,紘楷股份有限公司,紘楷,紡織業,桃園市
84149884,8028,昇陽國際半導體股份有限公司,昇陽半導體,半導體業,新竹市
83387850,1307,三芳化學工業股份有限公司,三芳,石化業,高雄市
35192807,非上市櫃,和友紡織股份有限公司,和友紡織,紡織業,桃園市
12209807,2108,南帝化學工業股份有限公司,南帝,石化業,高雄市
89392269,非上市櫃,遠東先進纖維股份有限公司,遠東先進,石化業,桃園市
86980046,6153,嘉聯益科技股份有限公司,嘉聯益,電子業,桃園市
88187108,2012,春雨工廠股份有限公司,春雨,鋼鐵業,高雄市
91004618,非上市櫃,上評資源循環股份有限公司,上評資源,造紙業,嘉義縣
53372182,非上市櫃,古河銅箔股份有限公司,古河銅箔,銅製造業,雲林縣
22266307,1451,年興紡織股份有限公司,年興,紡織業,苗栗縣
57002416,非上市櫃,大鐘印染股份有限公司,大鐘印染,紡織業,桃園市
56054251,9921,巨大機械工業股份有限公司,巨大,自行車業,台中市
22099890,8069,元太科技工業股份有限公司,元太,光電業,新竹市
13035951,非上市櫃,香榮實業股份有限公司,香榮實業,紡織業,桃園市
84570243,非上市櫃,翔新企業股份有限公司,翔新,紡織業,桃園市
16083358,非上市櫃,中華凸版電子股份有限公司,中華凸版,半導體業,桃園市
23528103,非上市櫃,敦南科技股份有限公司,敦南,半導體業,新竹市
70815339,非上市櫃,亞太優勢微系統股份有限公司,亞太優勢,半導體業,新竹縣
07205416,非上市櫃,東明纖維工業股份有限公司,東明纖維,紡織業,桃園市
22474430,非上市櫃,獻麒紡織工業股份有限公司,獻麒紡織,紡織業,彰化縣
34286449,5425,台灣半導體股份有限公司,台半,半導體業,宜蘭縣
22267777,1470,大統新創股份有限公司,大統新創,紡織業,桃園市
16847968,非上市櫃,艾克爾先進科技股份有限公司,艾克爾先進,半導體業,新竹縣
69905810,2474,可成科技股份有限公司,可成,鋁製造業,台南市
30901647,3583,辛耘企業股份有限公司,辛耘,半導體業,新竹縣
28114454,非上市櫃,晶成半導體股份有限公司,晶成,半導體業,新竹市
07620770,非上市櫃,新瑞倡企業股份有限公司,新瑞倡,紡織業,桃園市
22099343,非上市櫃,台灣高技股份有限公司,台灣高技,電子業,新竹縣
