於該縣市合計排放量(公噸CO2e),全台,台中市,台東縣,台南市,宜蘭市,宜蘭縣,花蓮縣,南投縣,屏東縣,苗栗縣,桃園市,高雄市,基隆市,雲林縣,新北市,新竹市,新竹縣,嘉義縣,彰化縣
華邦電子股份有限公司,"397,007","283,388",0,0,0,0,0,0,0,0,0,"113,619",0,0,0,0,0,0,0
台灣高技股份有限公司,"5,785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,785",0,0
聯亞科技股份有限公司,"553,706","107,698",0,"167,341",0,0,0,0,0,0,0,0,0,0,0,"233,810","44,857",0,0
旺宏電子股份有限公司,"355,303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"355,303",0,0,0
元太科技工業股份有限公司,"19,566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,566",0,0,0
台灣福雷電子股份有限公司,"118,894",0,0,0,0,0,0,0,0,0,0,"118,894",0,0,0,0,0,0,0
華東科技股份有限公司,"56,593",0,0,0,0,0,0,0,0,0,0,"56,593",0,0,0,0,0,0,0
年興紡織股份有限公司,"20,256",0,0,0,0,0,0,0,0,"20,256",0,0,0,0,0,0,0,0,0
大統新創股份有限公司,"13,794",0,0,0,0,0,0,0,0,0,"13,794",0,0,0,0,0,0,0,0
台灣志氯化學股份有限公司,"136,443",0,0,0,0,0,0,0,0,0,0,"136,443",0,0,0,0,0,0,0
亞東石化股份有限公司,"338,343",0,0,0,0,0,0,0,0,0,"338,343",0,0,0,0,0,0,0,0
永豐餘消費品實業股份有限公司,"109,561","63,577",0,0,0,0,0,0,0,0,"45,983",0,0,0,0,0,0,0,0
碁富食品股份有限公司,"23,489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,489"
獻麒紡織工業股份有限公司,"17,962",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,962"
大立光電股份有限公司,"164,275","164,275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京元電子股份有限公司,"280,120",0,0,0,0,0,0,0,0,"280,120",0,0,0,0,0,0,0,0,0
亞東工業氣體股份有限公司,"356,607","209,759",0,"30,898",0,0,0,0,0,0,"27,184","56,377",0,0,0,"32,390",0,0,0
先豐通訊股份有限公司,"57,829",0,0,0,0,0,0,0,0,0,"57,829",0,0,0,0,0,0,0,0
國巨股份有限公司,"75,048",0,0,0,0,0,0,0,0,0,0,"75,048",0,0,0,0,0,0,0
台灣必成股份有限公司,"154,669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"154,669",0
科德寶遠東股份有限公司,"34,067",0,0,0,0,0,0,0,0,0,"34,067",0,0,0,0,0,0,0,0
福隆玻璃纖維股份有限公司,"49,850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"49,850",0
宏遠興業股份有限公司,"95,849",0,0,"95,849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
廣達電腦股份有限公司,"27,466",0,0,0,0,0,0,0,0,0,"27,466",0,0,0,0,0,0,0,0
聯成鋼鐵股份有限公司,"97,280",0,0,0,0,0,0,0,0,0,"97,280",0,0,0,0,0,0,0,0
台灣寶理塑膠股份有限公司,"76,560",0,0,0,0,0,0,0,0,0,0,"76,560",0,0,0,0,0,0,0
遠東氣體工業股份有限公司,"33,414",0,0,0,0,0,0,0,0,0,0,"33,414",0,0,0,0,0,0,0
矽格股份有限公司,"40,327",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40,327",0,0
燁聯鋼鐵股份有限公司,"485,004",0,0,0,0,0,0,0,0,0,0,"485,004",0,0,0,0,0,0,0
中鋼碳素化學股份有限公司,"83,694",0,0,0,0,0,0,0,0,0,0,"83,694",0,0,0,0,0,0,0
銓盟企業股份有限公司,"25,521",0,0,0,0,0,0,0,0,0,"25,521",0,0,0,0,0,0,0,0
泓達化工股份有限公司,"26,362",0,0,0,0,0,0,0,0,0,0,"26,362",0,0,0,0,0,0,0
上銀科技股份有限公司,"37,751",0,0,0,0,0,0,0,0,0,0,0,0,"37,751",0,0,0,0,0
合興石化工業股份有限公司,"50,724",0,0,0,0,0,0,0,0,0,0,"50,724",0,0,0,0,0,0,0
欣興電子股份有限公司,"537,380",0,0,0,0,0,0,0,0,0,"385,703",0,0,0,0,0,"151,678",0,0
福懋科技股份有限公司,"112,003",0,0,0,0,0,0,0,0,0,0,0,0,"112,003",0,0,0,0,0
三義化學工業股份有限公司,"80,684",0,0,0,0,0,0,0,0,0,"80,684",0,0,0,0,0,0,0,0
日皓造紙工業股份有限公司,"42,096",0,0,0,0,0,0,0,0,0,"42,096",0,0,0,0,0,0,0,0
三陽工業股份有限公司,"36,958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,958",0,0
友達晶材股份有限公司,"37,147","37,147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
晶碩光學股份有限公司,"39,960",0,0,0,0,0,0,0,0,0,"39,960",0,0,0,0,0,0,0,0
台群工業股份有限公司,"24,342",0,0,0,0,0,0,0,0,0,"24,342",0,0,0,0,0,0,0,0
紡安股份有限公司,"33,381",0,0,0,0,0,0,0,0,"33,381",0,0,0,0,0,0,0,0,0
尚承鋼鐵股份有限公司,"170,589",0,0,0,0,0,0,0,0,0,0,"170,589",0,0,0,0,0,0,0
新科光電材料股份有限公司,"60,631",0,0,0,0,0,0,0,0,0,"60,631",0,0,0,0,0,0,0,0
永豐餘工業用紙股份有限公司,"614,964",0,0,0,0,0,0,0,0,0,"614,964",0,0,0,0,0,0,0,0
聯合再生能源股份有限公司,"40,135",0,0,"25,128",0,0,0,0,0,"15,007",0,0,0,0,0,0,0,0,0
誠美材料科技股份有限公司,"46,383",0,0,"46,383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
欣建工業股份有限公司,"28,783",0,0,0,0,0,0,0,0,0,0,"28,783",0,0,0,0,0,0,0
易昇鋼鐵股份有限公司,"181,447",0,0,"181,447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新唐科技股份有限公司,"53,757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"53,757",0,0,0
力晶積成電子製造股份有限公司,"582,944",0,0,0,0,0,0,0,0,"40,945",0,0,0,0,0,"541,999",0,0,0
環球晶圓股份有限公司,"145,193",0,0,0,0,0,0,0,0,"21,154",0,0,0,0,0,0,"124,039",0,0
晶成半導體股份有限公司,"7,235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,235",0,0,0
達輝光電股份有限公司,"37,058",0,0,0,0,0,0,0,0,"37,058",0,0,0,0,0,0,0,0,0
晶兆成科技股份有限公司,"72,087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"72,087",0,0
藍海氣體工業股份有限公司,"43,582","43,582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台灣美光記憶體股份有限公司,"1,156,889","1,156,889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
餘慶堂興業股份有限公司,"41,400","41,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
元晶太陽能科技股份有限公司,"43,389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,389",0,0
環球橡膠股份有限公司,"77,864",0,0,0,0,0,0,0,0,0,0,"77,864",0,0,0,0,0,0,0
中國鋼鐵股份有限公司,"18,066,406",0,0,0,0,0,0,0,0,0,0,"18,066,406",0,0,0,0,0,0,0
辛耘企業股份有限公司,"10,391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,391",0,0
