年度,管制編號,事業名稱,公司,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),工廠排放量佔比,公司總排放量,行業大類排放量,行業大類佔比,縣市別,縣市別排放量,縣市別排放量佔比,行業分類,行業大類,永續報告書有無,是否有報告,報告書收錄連結,報告書／資訊狀態,所屬集團,資訊來源,統編_trim,收錄 ETF
112,P5802387,大連化學工業股份有限公司麥寮廠,大連化學工業股份有限公司,12233428,"79,961.33","624,392.57","704,353.91",50.87%,"1,384,650.66","1,384,650.66",100.00%,雲林縣,"704,353.91",50.87%,化學原材料製造業,石化業,非屬公開發行,是,,永續報告書,長春,https://ccp.com.tw/ccpweb.nsf/ProfileTW?OpenAgent&ProfileName=CSR,12233428
112,L9200693,正隆股份有限公司后里分公司,正隆股份有限公司,33085508,"803,581.87","36,273.43","839,855.31",62.76%,"1,338,222.45","1,338,222.45",100.00%,台中市,"839,855.31",62.76%,紙漿、紙及紙板製造業,造紙業,造紙工業,是,https://drive.google.com/file/d/1bFesxY9rXI9-LwXc7LGFm3yOkx8mlyNd/view,,,,33085508,"006204, 00921"
112,L9202099,台灣美光記憶體股份有限公司台中一廠,台灣美光記憶體股份有限公司,28518076,"110,168.50","537,333.60","647,502.10",55.97%,"1,156,889.39","1,156,889.39",100.00%,台中市,"1,156,889.39",100.00%,半導體製造業,半導體業,非屬公開發行,是,,英文報告,美光,https://tw.micron.com/about/sustainability/sustainability-report,28518076
112,S2005081,長春人造樹脂廠股份有限公司大發廠,長春人造樹脂廠股份有限公司,11384708,"10,894.71","379,039.37","389,934.09",33.83%,"1,152,774.41","1,152,774.41",100.00%,高雄市,"851,395.78",73.86%,化學原材料製造業,石化業,非屬公開發行,是,,永續報告書,長春,https://ccp.com.tw/ccpweb.nsf/ProfileTW?OpenAgent&ProfileName=CSR,11384708
112,N1505633,星元電力股份有限公司,星元電力股份有限公司,27945086,"1,074,511.01","2,181.50","1,076,692.51",100.00%,"1,076,692.51","1,076,692.51",100.00%,彰化縣,"1,076,692.51",100.00%,電力供應業,電力業,非屬公開發行,否,,電力業歸在不收的範疇,,https://www.starbuckpower.com.tw/news.php,27945086
112,H4810799,國光電力股份有限公司,國光電力股份有限公司,70833553,"1,063,651.60","1,582.78","1,065,234.37",100.00%,"1,065,234.37","1,065,234.37",100.00%,桃園市,"1,065,234.37",100.00%,電力供應業,電力業,非屬公開發行,否,,電力業歸在不收的範疇,,https://www.kkpc.com.tw/information.php,70833553
112,N1504207,星能電力股份有限公司,星能電力股份有限公司,70783765,"1,035,912.17","2,614.25","1,038,526.42",100.00%,"1,038,526.42","1,038,526.42",100.00%,彰化縣,"1,038,526.42",100.00%,電力供應業,電力業,非屬公開發行,否,,電力業歸在不收的範疇,,https://starenergypower.com.tw/annual_report.php,70783765
112,H4889454,台灣美光晶圓科技股份有限公司一廠,台灣美光晶圓科技股份有限公司,80353271,"61,468.98","472,421.78","533,890.77",54.41%,"981,257.36","981,257.36",100.00%,桃園市,"981,257.36",100.00%,半導體製造業,半導體業,非屬公開發行,是,,英文報告,美光,https://tw.micron.com/about/sustainability/sustainability-report,80353271
112,E5600850,中國石油化學工業開發股份有限公司小港廠,中國石油化學工業開發股份有限公司,	03084741,"508,360.50","115,621.81","623,982.31",73.98%,"843,460.77","816,471.10",96.80%,高雄市,"783,572.47",92.90%,化學原材料製造業,石化業,非屬公開發行,是,,永續報告書,,https://www.cpdc.com.tw/tw/csr_pdf,03084741
112,H53A0675,東和鋼鐵企業股份有限公司桃園廠,東和鋼鐵企業股份有限公司,75280209,"78,056.08","354,241.83","432,297.91",52.58%,"822,114.05","822,114.05",100.00%,桃園市,"432,297.91",52.58%,鋼鐵製造業,鋼鐵業,鋼鐵工業,是,https://drive.google.com/file/d/1luR-dMCmA9cHXYahu7jiwN3ZeMFB8RPL/view,,,,75280209,"0051, 0056, 006204, 00692, 00713, 00731, 00921, 00934, 00936, 00944, 00938"
112,J5601064,新桃電力股份有限公司,新桃電力股份有限公司,16596337,"759,054.23","7,002.94","766,057.17",100.00%,"766,057.17","766,057.17",100.00%,新竹縣,"766,057.17",100.00%,電力供應業,電力業,非屬公開發行,否,,電力業歸在不收的範疇,,https://www.htpc.com.tw/news.html,16596337
