公司,產業分類,溫室氣體排放量（公噸二氧化碳當量）,淨零目標年,2030 年減量目標設定,SBTi 承諾,>> 雷達圖數據,2030年溫室氣體絕對減量目標,2030年再生能源使用率目標,2030年能源效率進步目標,2024年再生能源使用率,2022-2024年能源效率進步率,範疇三及減量策略
盛餘,鋼鐵業,"67,415",2050,0.07,❌,,0,0,0,0,0,1
晶兆成,半導體業,"76,778",,,❌
華泰,電子業,"68,622",,0.23,❌,,1,0,0,0,3,2
晉瑜,水泥業,"67,767",,,❌
元隆,半導體業,"75,337",,,❌
和益,石化業,"81,705",2050,0.013,❌,,1,0,0,0,0,1
中興紡織,石化業,"125,414",,,❌
台硝,石化業,"65,169",,,❌
合晶,半導體業,"77,511",2050,0.14,❌,,1,0,0,0,0,1
得力,紡織業,"82,461",2050,50%,❌,,3,0,0,0,3,0
恩智浦,半導體業,"68,552",2035,0.55,❌,,3,2,0,3,0,2
漢磊,半導體業,"80,452",NA,NA,❌,,0,0,0,0,0,1
台糖公司,食品業,"65,560",2050,NA,❌,,0,0,0,1,3,0
台塑科騰,石化業,"57,624",,,❌
新科光電,石化業,"64,015",,,❌
龍慶鋼鐵,鋼鐵業,"75,805",,,❌
立安東,石化業,"70,109",,,❌
勝一,石化業,"61,001",2050,0.3,❌,,2,0,0,3,0,1
榮科,銅製造業,"61,531",2050,0.3,❌,,2,1,0,0,0,1
敬鵬,電子業,"61,476",2050,0.5,❌,,3,2,0,2,3,2
先豐,電子業,"67,279",,,❌
華東,半導體業,"81,543",2050,NA,❌,,0,2,0,0,0,1
合眾紙業,造紙業,"61,179",,,❌
聯華氣體,石化業,"58,456",,,❌
華新科,電子業,"55,717",2050,0.15,❌,,1,0,0,0,0,1
東盟開發,鋼鐵業,"59,708",2050,15%,❌,,1,0,0,0,0,1
中環,電子業,"69,407",NA,NA,❌,,1,0,0,0,0,1
東鹼,石化業,"57,817",2050,20%,❌,,1,0,0,0,0,0
義美,食品業,"53,396",,,❌
新唐,半導體業,"71,589",2050,50%,符合1.5°C目標,,3,0,0,0,0,2
聯成,石化業,"55,652",2050,,❌,,0,0,0,0,0,1
台日古河,銅製造業,"54,382",,,❌
合興石化,石化業,"50,709",,,❌
福隆玻纖,非金屬製品加工業,"52,741",,,❌
大享容器,非金屬製品加工業,"65,986",,,❌
德州儀器,半導體業,"46,808",,,❌
通用器材,半導體業,"46,383",,,❌
味丹,食品業,"55,622",,,❌
漢泰鋼鐵,鋼鐵業,"43,601",,NA,❌,,0,0,0,0,0,0
聯穎,半導體業,"56,539",,,❌
誠美材,光電業,"46,944",2050,3%,❌,,2,0,0,0,0,2
中聯油脂,食品業,"47,163",,,❌
宏捷科,半導體業,"46,128",2050,0.5,❌,,3,1,0,0,3,1
精金,光電業,"56,604",無承諾,0.3,❌,,2,0,0,0,0,2
台燿,電子業,"48,627",NA,42%,❌,,2,0,0,0,3,1
住華,電子業,"44,762",,,❌
藍海氣體,石化業,"43,177",,,❌
台塑旭,石化業,"47,764",,,❌
元晶,光電業,"39,798",,,❌,,0,0,0,0,0,1
日皓造紙,造紙業,"39,617",,,❌
新隆纖維,紡織業,"44,656",,,❌
采鈺,電子業,"28,121",NA,NA,❌,,0,3,0,3,0,1
巧新,鋁製造業,"42,464",2050,NA,❌,,0,0,0,0,3,2
餘慶堂,水泥業,"39,203",,,❌
達爾國際,半導體業,"11,642",NA,NA,❌,,0,0,0,3,0,0
六和機械,汽機車業,"43,450",,,❌
矽格,半導體業,"42,217",NA,0.25,❌,,1,3,0,0,0,1
名佳利,銅製造業,"41,649",,,❌
聯合再生,光電業,"57,042",2050,0.24,❌,,1,0,0,0,0,1
晶碩,眼鏡製造業,0,2050,NA,❌,,0,0,0,0,0,2
萬洲化學,石化業,"40,179",,,❌
南港,石化業,"39,546",2050,NA,❌,,0,0,0,1,3,1
台榮,碾穀、磨粉及澱粉製品製造業,"30,597",2050,NA,❌,,1,1,0,0,0,0
國瑞,汽機車業,"38,293",,,❌
台達化,石化業,"38,343",2050,0.27,❌,,2,0,3,0,0,2
上銀,金屬加工用機械設備製造業,"45,225",2050,0.42,符合1.5°C目標,,2,0,3,0,0,2
卜蜂,食品業,"47,194",NA,,❌,,0,0,0,0,0,0
友達晶材,光電業,"52,352",,,❌
達輝光電,光電業,"38,984",,,❌
三陽工業,汽機車業,"33,746",2050,0.08,❌,,1,1,0,0,3,2
東隆興,紡織業,"63,391",NA,0.2,❌,,1,0,0,0,3,1
安瀚視特,非金屬製品加工業,"42,239",,,❌
三洋磁磚,非金屬製品加工業,"37,151",,,❌
宏全,鋼鐵業,"33,658",2050,NA,❌,,0,1,0,0,3,2
台耀,石化業,"33,474",2050,NA,❌,,0,0,0,0,3,1
鴻揚半導體,半導體業,"40,299",,,❌
環泥,水泥業,"32,585",2050,0.05,❌,,1,0,0,0,0,1
台船,造船業,0,NA,0.1,❌,,1,0,0,0,0,0
大同染整,紡織業,"41,076",,,❌
科德寶,紡織業,"38,116",,,❌
錦美紙業,造紙業,"41,160",,,❌
怡華,紡織業,"52,738",NA,0.05,❌,,1,0,0,0,0,0
遠東氣體,石化業,"37,738",,,❌
紡安,紡織業,"49,051",,,❌
環泰,食品業,"30,352",2050,20%,❌,,0,0,0,0,0,0
達邁,電子業,"35,700",2050,0.35,❌,,2,0,3,0,3,1
國聯矽業,石化業,"40,024",2050,25%,❌,,1,2,0,3,0,2
台合,石化業,"29,596",,,❌
台星科,電子業,"32,910",NA,9%,❌,,1,1,0,0,3,1
金車,食品業,"31,148",,,❌
連大興,紡織業,"40,933",,,❌
長興,石化業,"33,524",2050,0.3,❌,,2,1,3,1,0,2
東齊染整,紡織業,"29,477",,,❌
旭德,電子業,"31,092",,,❌
台豐印刷,電子業,"37,170",,,❌
曜智,紡織業,"31,007",,,❌
楠梓電,電子業,"39,542",NA,NA,❌,,1,0,0,0,0,0
白馬磁磚,非金屬製品加工業,"33,364",,,❌
台亞,半導體業,"27,587",,,❌,,0,0,0,0,0,2
欣銓,半導體業,0,2050,0.2,❌,,1,1,0,2,0,1
史谷脫,造紙業,"31,435",,,❌
矽格聯測,半導體業,"36,259",,,❌
豐年豐和,食品業,"36,744",,,❌
欣建,鋼鐵業,"30,199",,,❌
能元科技,電池製造業,"34,934",NA,NA,❌,,0,0,3,1,0,1
