公司,產業分類,溫室氣體排放量（公噸二氧化碳當量）,淨零目標年,2030 年減量目標設定,SBTi 承諾,有具體減量策略,範疇三揭露,範疇三減量規劃,近三年能效進步率,節能目標設定,再生能源使用率,再生能源設置容量,是否完成用電大戶再生能源設置義務,中期再生能源目標設定,RE100 承諾,燃煤使用量（公噸）
台燿,電子業,根據台灣證券交易上市公司 2023 年度第四季報,"p.8, p.58, p.119","p.8, p.119, p.121",p.123,p.123,p.119,p.64,p.123p.123p.123,p.123,NA,p.123,p.123,p.123,p.123,根據環境部燃料季用量申報資料
元晶,光電業,根據台灣證券交易上市公司 2023 年度第四季報,"p.54, p.57",NA,p.93,NA,p.68,p.56,NAp.93p.93,NA,p.56,p.63,NA,NA,NA,根據環境部燃料季用量申報資料
采鈺,電子業,根據台灣證券交易上市公司 2023 年度第四季報,"p.34, p.45",NA,"p.110, p.112",NA,"p.36, p.40",p.112,"NAp.110, p.112p.110, p.112",p.40,"p.43, p.112",p.40,p.40,p.40,p.40,根據環境部燃料季用量申報資料
巧新,鋁製造業,根據台灣證券交易上市公司 2023 年度第四季報,"p.12, p.45, p.107",p.45,"p.51, p.107",NA,"p.52, p.54, p.75",p.50,"p.51p.51p.51, p.107",p.51,p.50,p.51,p.51,p.51,p.51,根據環境部燃料季用量申報資料
矽格,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,"p.13, p.55, p.91","p.13, p.55",p.54,NA,"p.46, p.61, p.91",p.52,p.54p.54p.54,p.54,p.52,p.54,p.54,p.54,NA,根據環境部燃料季用量申報資料
聯合再生,光電業,根據台灣證券交易上市公司 2023 年度第四季報,"p.101, p.150","p.101, p.150","p.133, p.148",p.133,p.150,p.121,"p.133p.133, p.149p.133, p.148",p.133,p.121,p.133,p.133,p.133,p.133,根據環境部燃料季用量申報資料
晶碩,眼鏡製造業,根據台灣證券交易上市公司 2023 年度第四季報,"p.50, p.84","p.49, p.84",p.50,NA,p.51,p.50,p.50p.50p.50,NA,p.50,NA,NA,NA,NA,根據環境部燃料季用量申報資料
南港,石化業,根據台灣證券交易上市公司 2023 年度第四季報,"p.11, p.87",p.81,"p.82, p.83",NA,"p.66, p.59",p.79,"NANAp.82, p.83",NA,p.79,NA,NA,NA,NA,根據環境部燃料季用量申報資料
台榮,碾穀、磨粉及澱粉製品製造業,根據台灣證券交易上市公司 2023 年度第四季報,p.65,p.65,p.64,NA,NA,p.67,NAp.113p.64,NA,p.67,NA,NA,NA,NA,根據環境部燃料季用量申報資料
台達化,石化業,根據台灣證券交易上市公司 2023 年度第四季報,"p.54, p.65","p.54, p.65",p.67,p.68,p.60,p.66,NAp.68p.67,p.68,p.66,p.68,p.68,p.68,p.68,根據環境部燃料季用量申報資料
上銀,金屬加工用機械設備製造業,根據台灣證券交易上市公司 2023 年度第四季報,p.85,p.85,p.87,p.88,p.84,p.88,p.88p.88p.87,p.88,p.88,p.88,p.88,p.88,p.88,根據環境部燃料季用量申報資料
卜蜂,食品業,根據台灣證券交易上市公司 2023 年度第四季報,p.80,p.80,p.86,NA,NA,p.86,NAp.95p.86,NA,p.81,NA,NA,NA,NA,根據環境部燃料季用量申報資料
三陽工業,汽機車業,根據台灣證券交易上市公司 2023 年度第四季報,p.108,"p.7, p.108",p.114,p.183,"p.101, p.116",p.109,p.183p.114p.114,p.183,p.109,p.183,p.183,p.183,p.183,根據環境部燃料季用量申報資料
東隆興,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,p.47,p.47,p.53,NA,NA,p.49,p.53p.53p.53,NA,p.49,NA,NA,NA,NA,根據環境部燃料季用量申報資料
宏全,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,"p.67, p.73",p.73,p.73,p.73,"p.48, p.73",p.72,p.73p.73p.73,p.73,p.72,p.73,p.73,p.73,p.73,根據環境部燃料季用量申報資料
台耀,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.45,p.48,p.48,NA,"p.32, p.45",p.47,p.48p.48p.48,p.48,p.47,p.48,p.48,NA,p.48,根據環境部燃料季用量申報資料
環泥,水泥業,根據台灣證券交易上市公司 2023 年度第四季報,p.35,p.35,p.34,NA,p.35,p.37,NAp.34p.34,NA,p.37,NA,NA,NA,NA,根據環境部燃料季用量申報資料
台船,造船業,根據台灣證券交易上市公司 2023 年度第四季報,p.35,p.35,p.44,NA,NA,p.40,NAp.44p.44,NA,p.39,NA,NA,NA,NA,根據環境部燃料季用量申報資料
怡華,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,p.66,"p.66, p.69",p.70,NA,p.70,p.68,NAp.70p.70,NA,p.68,NA,NA,NA,NA,根據環境部燃料季用量申報資料
環泰,食品業,根據台灣證券交易上市公司 2023 年度第四季報,"p.38, p.45","p.38, p.45","p.44, p.103",NA,NA,p.93,"NAp.145p.44, p.103",NA,p.93,NA,NA,NA,NA,根據環境部燃料季用量申報資料
達邁,電子業,根據台灣證券交易上市公司 2023 年度第四季報,p.66,p.66,p.64,NA,"p.51, p.66",p.63,NAp.118p.64,NA,p.63,NA,NA,NA,NA,根據環境部燃料季用量申報資料
台星科,電子業,根據台灣證券交易上市公司 2023 年度第四季報,"p.65, p.115","p.65, p.68",p.68,p.68,NA,p.70,p.68p.68p.68,p.68,"p.69, p.70",p.68,p.68,p.68,p.68,根據環境部燃料季用量申報資料
長興,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.37,p.37,p.38,p.39,p.37,p.28,p.39p.39p.38,p.39,p.30,p.39,p.39,p.39,p.39,根據環境部燃料季用量申報資料
楠梓電,電子業,根據台灣證券交易上市公司 2023 年度第四季報,p.58,p.58,p.61,p.62,NA,p.63,p.62p.62p.61,p.62,p.63,p.62,p.62,p.62,p.62,根據環境部燃料季用量申報資料
台亞,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,p.129,NA,p.141,NA,"p.130, p.133",p.140,p.141p.141p.141,NA,p.140,NA,NA,NA,NA,根據環境部燃料季用量申報資料
欣銓,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,p.74,p.73,p.74,p.74,"p.74, p.67",p.72,p.74p.74p.74,p.74,p.72,p.74,p.74,p.74,p.74,根據環境部燃料季用量申報資料
燁興,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,p.66,p.66,"p.73, p.126",NA,NA,p.77,"NANAp.73, p.126",NA,p.76,NA,NA,NA,NA,根據環境部燃料季用量申報資料
和大,汽機車業,根據台灣證券交易上市公司 2023 年度第四季報,p.11,p.43,p.42,NA,NA,p.37,p.42p.42p.42,p.42,"p.37, p.42",NA,NA,NA,NA,根據環境部燃料季用量申報資料
廣達,電子業,根據台灣證券交易上市公司 2023 年度第四季報,"p.16, p.84","p.16, p.84",p.90,p.87,"p.47, p.84",p.86,"p.87p.87, p.90p.90",p.87,p.86,p.87,p.87,p.87,p.87,根據環境部燃料季用量申報資料
漢翔,航空業,根據台灣證券交易上市公司 2023 年度第四季報,p.71,p.71,p.73,NA,p.57,p.74,p.73p.73p.73,NA,p.74,NA,NA,NA,NA,根據環境部燃料季用量申報資料
建大,石化業,根據台灣證券交易上市公司 2023 年度第四季報,"p.65, p.70",p.70,p.71,NA,NA,p.67,"NAp.71, p.72, p.149p.71",NA,p.67,NA,NA,NA,NA,根據環境部燃料季用量申報資料
宏洲,石化業,根據台灣證券交易上市公司 2023 年度第四季報,"p.8, p.67",p.67,p.64,NA,"p.64, p.67",p.69,"p.64p.64, p.65p.64",NA,p.70,NA,NA,NA,NA,根據環境部燃料季用量申報資料
建榮,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,"p.13, p.79","p.5, p.15, p.78",p.78,NA,NA,p.80,NAp.78p.78,NA,p.80,NA,NA,NA,NA,根據環境部燃料季用量申報資料
台鹽,食品業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
昇陽半導體,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,p.60,p.60,"p.60, p.106",NA,p.61,p.63,"NAp.61p.60, p.106",p.61,p.63,p.61,p.61,NA,p.61,根據環境部燃料季用量申報資料
三芳,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.90,p.90,"p.114, p.118",NA,"p.39, p.83",p.80,"NAp.84, p.88p.114, p.118",p.88,p.82,NA,NA,NA,NA,根據環境部燃料季用量申報資料
南帝,石化業,根據台灣證券交易上市公司 2023 年度第四季報,"p.52, p.103","p.52, p.103","p.55, p.104",p.55,p.52,p.54,"p.55p.55, p.104p.55, p.104",p.55,p.54,p.55,p.55,p.55,p.55,根據環境部燃料季用量申報資料
嘉聯益,電子業,根據台灣證券交易上市公司 2023 年度第四季報,p.113,p.113,p.111,p.111,"p.62, p.66",p.65,p.111p.111p.111,p.111,p.65,p.111,p.111,p.111,p.111,根據環境部燃料季用量申報資料
春雨,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,p.53,p.53,p.65,p.65,"p.64, p.65, p.66",p.62,p.65p.65p.65,p.65,p.62,p.65,p.65,p.65,p.65,根據環境部燃料季用量申報資料
年興,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,p.68,p.68,p.68,NA,"p.54, p.79",p.70,NAp.68p.68,NA,p.70,NA,NA,NA,NA,根據環境部燃料季用量申報資料
巨大,自行車業,根據台灣證券交易上市公司 2023 年度第四季報,"p.70, p.84",p.87,p.86,p.88,"p.104, p.113, p.126",p.85,p.88p.88p.86,p.88,p.85,p.88,p.88,p.88,p.88,根據環境部燃料季用量申報資料
元太,光電業,根據台灣證券交易上市公司 2023 年度第四季報,p.87,p.87,"p.93, p.189",p.94,p.113,"p.93, p.188","p.94p.94p.93, p.189",p.94,p.188,p.94,p.94,p.94,p.94,根據環境部燃料季用量申報資料
